Assay	Cell Type	Molecule
CAGE	Fibroblast - skin normal,	
CAGE	Fibroblast - skin normal,	
CAGE	Fibroblast - skin walker warburg,	
CAGE	Fibroblast - skin walker warburg,	
CAGE	Fibroblast - skin dystrophia myotonica,	
CAGE	Fibroblast - skin dystrophia myotonica,	
CAGE	Adipocyte - subcutaneous,	
CAGE	Adipocyte - subcutaneous,	
CAGE	Chondrocyte - de diff,	
CAGE	Chondrocyte - de diff,	
CAGE	Chondrocyte - re diff,	
CAGE	Chondrocyte - re diff,	
CAGE	Endothelial Cells - Microvascular,	
CAGE	Endothelial Cells - Microvascular,	
CAGE	Endothelial Cells - Vein,	
CAGE	Endothelial Cells - Vein,	
CAGE	Fibroblast - Cardiac,	
CAGE	Fibroblast - Cardiac,	
CAGE	Fibroblast - Dermal,	
CAGE	Fibroblast - Dermal,	
CAGE	Fibroblast - Lung,	
CAGE	Fibroblast - Lung,	
CAGE	uterus, adult, pool1	
CAGE	uterus, adult, pool1	
CAGE	salivary gland, adult, pool1	
CAGE	salivary gland, adult, pool1	
CAGE	lung, fetal,	
CAGE	lung, fetal,	
CAGE	chronic lymphocytic leukemia (T-CLL) cell line:SKW-3	
CAGE	chronic lymphocytic leukemia (T-CLL) cell line:SKW-3	
CAGE	Hodgkin's lymphoma cell line:HD-Mar2	
CAGE	Hodgkin's lymphoma cell line:HD-Mar2	
CAGE	papillary adenocarcinoma cell line:8505C	
CAGE	papillary adenocarcinoma cell line:8505C	
CAGE	oral squamous cell carcinoma cell line:HSC-3	
CAGE	oral squamous cell carcinoma cell line:HSC-3	
CAGE	mesenchymal stem cell line:Hu5/E18	
CAGE	mesenchymal stem cell line:Hu5/E18	
CAGE	leiomyoma cell line:10964C	
CAGE	leiomyoma cell line:10964C	
CAGE	leiomyoma cell line:15242A	
CAGE	leiomyoma cell line:15242A	
CAGE	leiomyoma cell line:15425	
CAGE	leiomyoma cell line:15425	
CAGE	argyrophil small cell carcinoma cell line:TC-YIK	
CAGE	argyrophil small cell carcinoma cell line:TC-YIK	
CAGE	testicular germ cell embryonal carcinoma cell line:NEC8	
CAGE	testicular germ cell embryonal carcinoma cell line:NEC8	
CAGE	Wilms' tumor cell line:HFWT	
CAGE	Wilms' tumor cell line:HFWT	
CAGE	myxofibrosarcoma cell line:MFH-ino	
CAGE	myxofibrosarcoma cell line:MFH-ino	
CAGE	embryonic pancreas cell line:1B2C6	
CAGE	embryonic pancreas cell line:1B2C6	
CAGE	embryonic pancreas cell line:1C3D3	
CAGE	embryonic pancreas cell line:1C3D3	
CAGE	embryonic pancreas cell line:1C3IKEI	
CAGE	embryonic pancreas cell line:1C3IKEI	
CAGE	small-cell gastrointestinal carcinoma cell line:ECC4	
CAGE	small-cell gastrointestinal carcinoma cell line:ECC4	
CAGE	small cell gastrointestinal carcinoma cell line:ECC10	
CAGE	small cell gastrointestinal carcinoma cell line:ECC10	
CAGE	gastric adenocarcinoma cell line:MKN1	
CAGE	gastric adenocarcinoma cell line:MKN1	
CAGE	gastrointestinal carcinoma cell line:ECC12	
CAGE	gastrointestinal carcinoma cell line:ECC12	
CAGE	squamous cell carcinoma cell line:T3M-5	
CAGE	squamous cell carcinoma cell line:T3M-5	
CAGE	granulosa cell tumor cell line:KGN	
CAGE	granulosa cell tumor cell line:KGN	
CAGE	diffuse large B-cell lymphoma cell line:CTB-1	
CAGE	diffuse large B-cell lymphoma cell line:CTB-1	
CAGE	hepatoblastoma cell line:HuH-6	
CAGE	hepatoblastoma cell line:HuH-6	
CAGE	neuroectodermal tumor cell line:FU-RPNT-1	
CAGE	neuroectodermal tumor cell line:FU-RPNT-1	
CAGE	clear cell carcinoma cell line:JHOC-5	
CAGE	clear cell carcinoma cell line:JHOC-5	
CAGE	serous adenocarcinoma cell line:JHOS-2	
CAGE	serous adenocarcinoma cell line:JHOS-2	
CAGE	carcinosarcoma cell line:JHUCS-1	
CAGE	carcinosarcoma cell line:JHUCS-1	
CAGE	endometrioid adenocarcinoma cell line:JHUEM-1	
CAGE	endometrioid adenocarcinoma cell line:JHUEM-1	
CAGE	squamous cell carcinoma cell line:JHUS-nk1	
CAGE	squamous cell carcinoma cell line:JHUS-nk1	
